room_count,architecture,pipeline,cases,room_accuracy,mean_input_snr_db,median_input_snr_db,mean_input_si_sdr_db,median_input_si_sdr_db,mean_input_stoi,median_input_stoi,mean_input_pesq,median_input_pesq,mean_snr_improvement_db,median_snr_improvement_db,mean_si_sdr_improvement_db,median_si_sdr_improvement_db,mean_stoi_improvement,median_stoi_improvement,mean_output_stoi,median_output_stoi,mean_pesq_improvement,median_pesq_improvement,mean_output_pesq,median_output_pesq,mean_rtf,median_rtf,mean_localization_error_m,median_localization_error_m,mean_output_dry_si_sdr_db,median_output_dry_si_sdr_db,mean_output_dry_stoi,median_output_dry_stoi,mean_output_dry_pesq,median_output_dry_pesq
4,distributed_singles,distributed_wpe_mwf,2,1.0,5.41795,5.41795,5.38945,5.38945,0.72402,0.72402,1.24042,1.24042,15.5543,15.5543,8.67165,8.67165,0.22029,0.22029,0.9443,0.9443,1.41214,1.41214,2.65255,2.65255,0.10113,0.10113,0.6886,0.6886,-4.2303,-4.2303,0.76484,0.76484,1.08614,1.08614
4,local_array_4ch,local_ds,2,1.0,-0.38245,-0.38245,-0.5055,-0.5055,0.55029,0.55029,1.05714,1.05714,0.3894,0.3894,-0.24485,-0.24485,0.05366,0.05366,0.60395,0.60395,0.00913,0.00913,1.06627,1.06627,0.00305,0.00305,,,-8.1953,-8.1953,0.56303,0.56303,1.02572,1.02572
4,local_array_4ch,local_mvdr,2,1.0,-0.38245,-0.38245,-0.5055,-0.5055,0.55029,0.55029,1.05714,1.05714,14.31735,14.31735,8.2675,8.2675,0.35914,0.35914,0.90943,0.90943,0.66941,0.66941,1.72655,1.72655,0.00489,0.00489,,,-4.54095,-4.54095,0.71144,0.71144,1.05394,1.05394
4,local_array_4ch,local_mwf,2,1.0,-0.38245,-0.38245,-0.5055,-0.5055,0.55029,0.55029,1.05714,1.05714,19.3603,19.3603,15.787,15.787,0.37245,0.37245,0.92273,0.92273,1.32681,1.32681,2.38396,2.38396,0.0054,0.0054,,,-4.6973,-4.6973,0.71201,0.71201,1.06639,1.06639
4,local_array_4ch,local_wpd,2,1.0,-0.38245,-0.38245,-0.5055,-0.5055,0.55029,0.55029,1.05714,1.05714,4.34665,4.34665,2.81395,2.81395,0.21868,0.21868,0.76897,0.76897,0.04573,0.04573,1.10288,1.10288,0.01681,0.01681,,,-5.6001,-5.6001,0.65699,0.65699,1.03121,1.03121
4,local_array_4ch,local_wpe_mvdr,2,1.0,-0.38245,-0.38245,-0.5055,-0.5055,0.55029,0.55029,1.05714,1.05714,12.95405,12.95405,6.83985,6.83985,0.30343,0.30343,0.85372,0.85372,0.48074,0.48074,1.53789,1.53789,0.03806,0.03806,,,-3.58895,-3.58895,0.73259,0.73259,1.05191,1.05191
4,local_array_4ch,local_wpe_mwf,2,1.0,-0.38245,-0.38245,-0.5055,-0.5055,0.55029,0.55029,1.05714,1.05714,16.6538,16.6538,10.58145,10.58145,0.31057,0.31057,0.86087,0.86087,0.88597,0.88597,1.94312,1.94312,0.03796,0.03796,,,-4.05525,-4.05525,0.72954,0.72954,1.06308,1.06308
4,single,single_raw,2,1.0,5.41795,5.41795,5.38945,5.38945,0.72402,0.72402,1.24042,1.24042,0.0,0.0,0.0,0.0,0.0,0.0,0.72402,0.72402,0.0,0.0,1.24042,1.24042,0.0,0.0,0.6886,0.6886,-6.09615,-6.09615,0.63077,0.63077,1.03789,1.03789
4,single,single_wiener,2,1.0,5.41795,5.41795,5.38945,5.38945,0.72402,0.72402,1.24042,1.24042,2.68575,2.68575,1.49235,1.49235,-0.02777,-0.02777,0.69625,0.69625,-0.05635,-0.05635,1.18406,1.18406,0.00493,0.00493,0.6886,0.6886,-5.5177,-5.5177,0.59338,0.59338,1.03718,1.03718
6,distributed_singles,distributed_mvdr,2,1.0,7.91545,7.91545,7.89795,7.89795,0.77588,0.77588,1.41466,1.41466,10.53185,10.53185,-6.9457,-6.9457,-0.03345,-0.03345,0.74243,0.74243,0.16367,0.16367,1.57832,1.57832,0.00722,0.00722,1.02635,1.02635,-11.55895,-11.55895,0.62031,0.62031,1.05641,1.05641
