room_count,architecture,pipeline,cases,room_accuracy,mean_input_snr_db,median_input_snr_db,mean_input_si_sdr_db,median_input_si_sdr_db,mean_input_stoi,median_input_stoi,mean_input_pesq,median_input_pesq,mean_snr_improvement_db,median_snr_improvement_db,mean_si_sdr_improvement_db,median_si_sdr_improvement_db,mean_stoi_improvement,median_stoi_improvement,mean_output_stoi,median_output_stoi,mean_pesq_improvement,median_pesq_improvement,mean_output_pesq,median_output_pesq,mean_rtf,median_rtf,mean_localization_error_m,median_localization_error_m,mean_output_dry_si_sdr_db,median_output_dry_si_sdr_db,mean_output_dry_stoi,median_output_dry_stoi,mean_output_dry_pesq,median_output_dry_pesq
8,distributed_singles,distributed_mwf,10,1.0,7.72363,6.9415,7.69043,6.95755,0.77125,0.77787,1.3943,1.25622,12.24847,13.70555,9.43107,10.3932,0.16745,0.18615,0.93871,0.95689,1.19695,1.19448,2.59125,2.68074,0.00807,0.00811,1.11403,0.6787,-6.63283,-9.27455,0.68974,0.69846,1.05817,1.05395
8,distributed_singles,distributed_weighted_ds,10,1.0,7.72363,6.9415,7.69043,6.95755,0.77125,0.77787,1.3943,1.25622,3.89602,3.88445,0.7908,-0.3673,0.04025,0.03524,0.8115,0.82111,0.26195,0.24269,1.65625,1.48795,0.00524,0.00448,1.11403,0.6787,-8.71697,-10.24425,0.61238,0.61834,1.04995,1.03756
8,distributed_singles,distributed_wpd,10,1.0,7.72363,6.9415,7.69043,6.95755,0.77125,0.77787,1.3943,1.25622,2.91782,3.2636,-6.91606,-9.1929,-0.14863,-0.17068,0.62262,0.58298,-0.15455,-0.1161,1.23974,1.19054,0.02914,0.02853,1.11403,0.6787,-11.93517,-11.52065,0.56313,0.55668,1.03452,1.03593
8,distributed_singles,distributed_wpe_mvdr,10,1.0,7.72363,6.9415,7.69043,6.95755,0.77125,0.77787,1.3943,1.25622,14.46682,14.5921,-1.01344,-1.28605,0.10494,0.08361,0.8762,0.89794,1.08565,1.24535,2.47994,2.47724,0.16009,0.1588,1.11403,0.6787,-8.73283,-10.3445,0.66294,0.64711,1.05087,1.04668
8,distributed_singles,distributed_wpe_mwf,10,1.0,7.72363,6.9415,7.69043,6.95755,0.77125,0.77787,1.3943,1.25622,11.57691,12.86955,5.52088,7.51075,0.15146,0.17485,0.92271,0.93922,1.01011,1.06841,2.4044,2.52053,0.15989,0.15913,1.11403,0.6787,-6.21763,-9.04295,0.70825,0.71565,1.05814,1.05333
8,local_array_4ch,local_ds,10,1.0,-0.26811,-0.30915,-0.27049,-0.16065,0.55645,0.55455,1.06768,1.06913,1.14691,1.0846,0.89891,0.84115,0.0998,0.10229,0.65626,0.65685,0.01011,0.0111,1.0778,1.0794,0.00264,0.00263,,,-6.77803,-6.9581,0.60198,0.60327,1.02704,1.02662
8,local_array_4ch,local_mvdr,10,1.0,-0.26811,-0.30915,-0.27049,-0.16065,0.55645,0.55455,1.06768,1.06913,12.42777,13.82045,8.175,8.5627,0.33517,0.37683,0.89162,0.94468,0.8054,0.85312,1.87308,1.91491,0.00436,0.00434,,,-4.55154,-4.1016,0.69697,0.7122,1.04907,1.05103
8,local_array_4ch,local_mwf,10,1.0,-0.26811,-0.30915,-0.27049,-0.16065,0.55645,0.55455,1.06768,1.06913,18.39267,19.95855,15.09971,16.2888,0.3435,0.37987,0.89996,0.94928,1.34303,1.48026,2.41071,2.54204,0.00441,0.00441,,,-3.86961,-4.2938,0.70093,0.7131,1.05848,1.0584
8,local_array_4ch,local_wpd,10,1.0,-0.26811,-0.30915,-0.27049,-0.16065,0.55645,0.55455,1.06768,1.06913,7.27283,7.66915,5.29153,5.4625,0.26092,0.28429,0.81738,0.84414,0.17013,0.13545,1.23781,1.20466,0.01625,0.01633,,,-4.16364,-4.0899,0.69329,0.70838,1.03626,1.03787
8,local_array_4ch,local_wpe_mvdr,10,1.0,-0.26811,-0.30915,-0.27049,-0.16065,0.55645,0.55455,1.06768,1.06913,11.67311,12.8728,6.76017,6.9373,0.28063,0.30485,0.83707,0.86917,0.54581,0.55554,1.61349,1.62199,0.03623,0.03607,,,-3.35454,-2.76915,0.72261,0.73864,1.06,1.05531
8,local_array_4ch,local_wpe_mwf,10,1.0,-0.26811,-0.30915,-0.27049,-0.16065,0.55645,0.55455,1.06768,1.06913,15.71365,16.7865,9.75928,10.1114,0.28708,0.30117,0.84353,0.87218,0.8715,0.94407,1.93918,2.01207,0.03627,0.03604,,,-2.88222,-3.31805,0.72381,0.73506,1.06295,1.05617
8,single,single_raw,10,1.0,7.72363,6.9415,7.69043,6.95755,0.77125,0.77787,1.3943,1.25622,0.0,0.0,0.0,0.0,0.0,0.0,0.77125,0.77787,0.0,0.0,1.3943,1.25622,0.0,0.0,1.11403,0.6787,-7.47773,-9.60615,0.6201,0.60379,1.03638,1.03625
8,single,single_wiener,10,1.0,7.72363,6.9415,7.69043,6.95755,0.77125,0.77787,1.3943,1.25622,2.63841,2.68735,1.26038,1.24105,-0.01929,-0.01644,0.75196,0.76143,-0.07002,-0.09777,1.32427,1.14377,0.00411,0.00414,1.11403,0.6787,-6.9672,-9.3896,0.59445,0.57737,1.03453,1.03332
